text,sentiment
"Expected more from the plot, ended up just okay at best, leaning disappointing.",negative
"Couldn't be happier with the app, superb quality.",negative
"What an amazing screen quality, highly recommend it!",positive
"Couldn't be happier with the course, impressive quality.",positive
"Not happy with the team, the screen quality is dismal",negative
"What an satisfying headphones, highly recommend it!",positive
"What a broken vacation package, would not recommend.",negative
Such a superb experience with this delivery!,positive
"I really loved the laptop, it was perfect.",positive
"Shoutout to the team, the course is awesome!",positive
"Honestly, the product was wonderful from start to finish.",positive
"Shoutout to the team, the the acting is brilliant!",positive
"OMG the vacation package is so terrific, can't stop talking about it",positive
"The software update exceeded my expectations, truly amazing.",positive
"OMG the book is so perfect, can't stop talking about it",positive
"Wanted to like the coffee, but it just didn't work out.",negative
"Five stars for this delivery, it's excellent!",positive
This product is absolutely painful.,negative
"What a dismal movie, would not recommend.",negative
"Thought the restaurant would be outstanding, turns out it really wasn't.",negative
"Mixed feelings about the screen quality at first, but it won me over.",negative
"What a frustrating headphones, would not recommend.",negative
This headphones is absolutely excellent!,positive
gym review: lovely. would recommend 100%,positive
"One star for this coffee, it's broken.",negative
"Honestly, the book was unacceptable from start to finish.",negative
Everything about the book felt flawless and well thought out.,positive
"I really disliked the app, it was terrible.",negative
"in love with this food, it's fabulous omg",positive
"Honestly expected the restaurant to be a disappointing, glad I was wrong.",negative
"today's plot was terrific, made my whole week better",positive
laptop review: amazing. would recommend 100%,positive
Can't believe how broken this sound quality turned out to be smh,negative
"Couldn't be happier with the flight, fabulous quality.",positive
"What a poor headphones, would not recommend.",negative
"A bit pricey for a hotel, but worth it in the end.",positive
"The vacation package disappointed me, it was genuinely disappointing.",negative
"I'm so unhappy with the gym, frustrating in every way.",negative
"The course surprised me, it was genuinely brilliant.",positive
"so done with this concert, it's subpar honestly",negative
"It's not the worst screen quality, but I wouldn't bother again.",negative
"OMG the movie is so satisfying, can't stop talking about it",positive
"The the acting looked promising, sadly it fell flat.",negative
Just tried the new movie and it's frustrating.. #fail,negative
"Not as fabulous as everyone claimed, kind of let down by the customer service.",negative
Everything about the plot felt terrific and well thought out.,positive
This software update is absolutely annoying.,negative
"Worst book I've ever used, simply dreadful.",negative
"okay the gym is actually frustrating, kind of upset",negative
screen quality review: lousy. would not recommend,negative
Just tried the new the acting and it's lovely!! #loveit,positive
"I really disliked the software update, it was subpar.",negative
"Regret paying for the camera, subpar quality.",negative
"Regret paying for the food, overpriced quality.",negative
"Couldn't be happier with the coffee, flawless quality.",positive
This delivery is absolutely brilliant!,positive
Everything about the food felt frustrating and poorly thought out.,negative
"Honestly, the gym was subpar from start to finish.",negative
"The coffee surprised me, it was genuinely fabulous.",positive
"ugh the coffee is so useless, never doing that again",negative
Just tried the new coffee and it's perfect!! #loveit,positive
"today's headphones was disappointing, ruined my whole week",negative
This screen quality is absolutely boring.,negative
"The flight fell far short of expectations, truly dreadful.",negative
"A bit pricey for a food, but worth it in the end.",positive
Such a dismal experience with this camera.,negative
"Wanted to like the delivery, but it just didn't work out.",negative
Just tried the new customer service and it's overpriced.. #fail,negative
"today's food was delightful, made my whole week better",positive
"One star for this game, it's mediocre.",negative
"I'm so happy with the headphones, satisfying in every way.",positive
customer service review: dismal. would not recommend,negative
"ugh the course is so overpriced, never doing that again",negative
This coffee is absolutely broken.,negative
"ugh the phone is so frustrating, never doing that again",negative
Such a horrible experience with this phone.,negative
Everything about the course felt brilliant and well thought out.,positive
screen quality review: disappointing. would not recommend,negative
"What an fantastic vacation package, highly recommend it!",positive
game review: poor. would not recommend,negative
"Best customer service I've ever used, simply terrific.",positive
game review: amazing. would recommend 100%,positive
This game is absolutely overpriced.,negative
course review: lovely. would recommend 100%,positive
Just tried the new book and it's terrible.. #fail,negative
"The app surprised me, it was genuinely fantastic.",positive
"The product surprised me, it was genuinely outstanding.",positive
Can't believe how awesome this phone turned out to be :),positive
"so done with this battery life, it's dreadful honestly",negative
Just tried the new restaurant and it's pathetic.. #fail,negative
"okay the staff is actually amazing, not even joking",positive
"Shoutout to the team, the book is superb!",positive
Everything about the customer service felt awesome and well thought out.,positive
"The laptop exceeded my expectations, truly impressive.",positive
"Five stars for this headphones, it's outstanding!",positive
"Honestly, the vacation package was charming from start to finish.",positive
Such a lousy experience with this screen quality.,negative
"ugh the restaurant is so dismal, never doing that again",negative
"The book disappointed me, it was genuinely broken.",negative
"in love with this delivery, it's lovely omg",positive
"Five stars for this battery life, it's awesome!",positive
"The course isn't perfect, though overall I'd say it's decent.",positive
"Worst flight I've ever used, simply unacceptable.",negative
"Honestly, the concert was terrific from start to finish.",positive
"Not the best phone I've seen, but honestly still pretty good.",positive
"One star for this course, it's annoying.",negative
"OMG the vacation package is so great, can't stop talking about it",positive
"What an brilliant app, highly recommend it!",positive
"Couldn't be happier with the flight, terrific quality.",positive
"What an impressive delivery, highly recommend it!",positive
"The hotel exceeded my expectations, truly terrific.",positive
"so done with this phone, it's broken honestly",negative
"I really loved the the acting, it was terrific.",positive
"Wanted to like the vacation package, but it just didn't work out.",positive
Can't believe how disappointing this plot turned out to be smh,negative
food review: wonderful. would recommend 100%,negative
"One star for this camera, it's disappointing.",negative
Such a brilliant experience with this laptop!,positive
"Couldn't be happier with the phone, superb quality.",positive
"in love with this phone, it's flawless omg",positive
"I'm so unhappy with the battery life, useless in every way.",negative
customer service review: painful. would not recommend,negative
Just tried the new concert and it's outstanding!! #loveit,positive
"OMG the flight is so fabulous, can't stop talking about it",positive
"What a unacceptable camera, would not recommend.",negative
"Honestly, the staff was wonderful from start to finish.",positive
camera review: brilliant. would recommend 100%,positive
Can't believe how brilliant this plot turned out to be :),positive
"Mixed feelings about the delivery at first, but it won me over.",positive
"What an superb delivery, highly recommend it!",positive
Such a superb experience with this software update!,positive
"What an outstanding customer service, highly recommend it!",positive
"The staff sounded outstanding on paper, but it really wasn't in practice.",negative
"today's restaurant was top-notch, made my whole week better",positive
"The book surprised me, it was genuinely superb.",positive
"One star for this camera, it's lousy.",negative
Just tried the new staff and it's awesome!! #loveit,positive
Can't believe how terrible this software update turned out to be smh,negative
hotel review: wonderful. would recommend 100%,positive
"Five stars for this customer service, it's excellent!",positive
"okay the phone is actually terrific, not even joking",positive
"Regret paying for the phone, terrible quality.",negative
laptop review: mediocre. would not recommend,negative
"The phone disappointed me, it was genuinely mediocre.",negative
"The movie fell far short of expectations, truly overpriced.",negative
"Worst food I've ever used, simply horrible.",negative
"Honestly expected the course to be a disappointing, glad I was wrong.",positive
Such a fabulous experience with this hotel!,positive
"What a atrocious concert, would not recommend.",negative
"today's product was fabulous, made my whole week better",positive
"Not the best service I've seen, but honestly still pretty good.",positive
customer service review: brilliant. would recommend 100%,positive
"today's screen quality was wonderful, made my whole week better",positive
Just tried the new camera and it's lousy.. #fail,negative
Just tried the new course and it's broken.. #fail,negative
"The delivery isn't perfect, though overall I'd say it's decent.",positive
"OMG the service is so superb, can't stop talking about it",positive
"Shoutout to the team, the product is fabulous!",positive
"The app exceeded my expectations, truly top-notch.",positive
"The battery life sounded amazing on paper, but it really wasn't in practice.",negative
staff review: fabulous. would recommend 100%,negative
phone review: excellent. would recommend 100%,positive
"I really loved the app, it was incredible.",positive
"I'm so unhappy with the product, dreadful in every way.",negative
"Worst book I've ever used, simply broken.",negative
"ugh the book is so overpriced, never doing that again",negative
Such a painful experience with this food.,negative
"OMG the battery life is so delightful, can't stop talking about it",positive
"The phone surprised me, it was genuinely fantastic.",positive
Just tried the new product and it's top-notch!! #loveit,positive
Everything about the battery life felt perfect and well thought out.,positive
Can't believe how flawless this gym turned out to be :),positive
"One star for this the acting, it's disappointing.",negative
This camera is absolutely wonderful!,positive
"Mixed feelings about the laptop at first, but it won me over.",negative
"The game fell far short of expectations, truly mediocre.",negative
"The service sounded great on paper, but it really wasn't in practice.",negative
"What an satisfying product, highly recommend it!",positive
"so done with this camera, it's annoying honestly",negative
"Wasn't sure about the staff at first, but it grew on me.",positive
"What a atrocious software update, would not recommend.",negative
Just tried the new course and it's lousy.. #fail,negative
Such a boring experience with this customer service.,negative
"One star for this food, it's dismal.",negative
"Honestly expected the customer service to be a subpar, glad I was wrong.",positive
"today's flight was lousy, ruined my whole week",negative
"It's not a horrible, but I still ended up enjoying the software update.",positive
"Honestly, the vacation package was unacceptable from start to finish.",negative
"Worst app I've ever used, simply annoying.",negative
"Regret paying for the coffee, broken quality.",negative
Just tried the new vacation package and it's horrible.. #fail,positive
Can't believe how great this book turned out to be :),positive
Such a satisfying experience with this phone!,positive
"ugh the laptop is so pathetic, never doing that again",negative
laptop review: pathetic. would not recommend,negative
"The gym exceeded my expectations, truly delightful.",positive
"today's battery life was wonderful, made my whole week better",positive
"ugh the flight is so boring, never doing that again",negative
"One star for this concert, it's dismal.",negative
"The gym disappointed me, it was genuinely atrocious.",negative
"so done with this battery life, it's poor honestly",negative
"Five stars for this service, it's outstanding!",positive
This vacation package is absolutely dismal.,negative
Such a disappointing experience with this concert.,negative
book review: satisfying. would recommend 100%,positive
"I'm so unhappy with the plot, dismal in every way.",negative
"today's headphones was perfect, made my whole week better",positive
"Not happy with the team, the coffee is unacceptable",negative
Such a superb experience with this vacation package!,positive
Everything about the concert felt atrocious and poorly thought out.,negative
"I'm so happy with the battery life, awesome in every way.",positive
"Not the best sound quality I've seen, but honestly still pretty good.",positive
"ugh the staff is so broken, never doing that again",negative
Can't believe how satisfying this camera turned out to be :),positive
"The service fell far short of expectations, truly unacceptable.",negative
Just tried the new service and it's fantastic!! #loveit,positive
"I really loved the product, it was delightful.",positive
Such a atrocious experience with this hotel.,negative
Everything about the game felt mediocre and poorly thought out.,negative
Just tried the new delivery and it's amazing!! #loveit,positive
"I really disliked the coffee, it was annoying.",negative
"The camera disappointed me, it was genuinely dreadful.",negative
Everything about the service felt lovely and well thought out.,positive
"What an lovely plot, highly recommend it!",positive
"Shoutout to the team, the book is terrific!",positive
"Regret paying for the course, overpriced quality.",negative
"What a subpar restaurant, would not recommend.",negative
"I'm so unhappy with the staff, annoying in every way.",negative
"One star for this delivery, it's overpriced.",negative
"One star for this coffee, it's frustrating.",negative
Can't believe how awful this food turned out to be smh,negative
"I really disliked the hotel, it was poor.",negative
"okay the course is actually amazing, not even joking",positive
Such a frustrating experience with this gym.,negative
Just tried the new gym and it's awesome!! #loveit,positive
"The the acting fell far short of expectations, truly atrocious.",negative
app review: flawless. would recommend 100%,positive
book review: great. would recommend 100%,positive
Everything about the battery life felt boring and poorly thought out.,negative
"okay the screen quality is actually lousy, kind of upset",negative
"I really disliked the book, it was dreadful.",negative
Such a atrocious experience with this screen quality.,negative
"It's not a subpar, but I still ended up enjoying the flight.",positive
Such a dismal experience with this phone.,negative
"The service sounded outstanding on paper, but it really wasn't in practice.",negative
camera review: annoying. would not recommend,negative
"Regret paying for the software update, atrocious quality.",negative
Can't believe how boring this hotel turned out to be smh,negative
"in love with this plot, it's top-notch omg",positive
"in love with this concert, it's flawless omg",positive
"okay the sound quality is actually boring, kind of upset",negative
"A bit pricey for a battery life, but worth it in the end.",positive
Can't believe how dismal this restaurant turned out to be smh,negative
"I'm so unhappy with the laptop, boring in every way.",negative
"The vacation package exceeded my expectations, truly impressive.",positive
Such a horrible experience with this sound quality.,positive
"ugh the gym is so frustrating, never doing that again",negative
"It's not an useless, but I still ended up enjoying the laptop.",positive
This app is absolutely horrible.,negative
"today's restaurant was charming, made my whole week better",positive
"Regret paying for the app, awful quality.",negative
Such a outstanding experience with this service!,positive
Can't believe how charming this the acting turned out to be :),positive
"I'm so unhappy with the concert, painful in every way.",negative
"The book disappointed me, it was genuinely lousy.",negative
Just tried the new course and it's great!! #loveit,positive
"okay the hotel is actually outstanding, not even joking",positive
"The headphones disappointed me, it was genuinely boring.",negative
Can't believe how great this staff turned out to be :),positive
"Not happy with the team, the software update is annoying",negative
"Regret paying for the camera, painful quality.",negative
"The book exceeded my expectations, truly great.",positive
"The app sounded impressive on paper, but it really wasn't in practice.",positive
"The headphones fell far short of expectations, truly boring.",negative
"A bit pricey for a flight, but worth it in the end.",positive
"One star for this movie, it's dismal.",negative
"I'm so happy with the staff, wonderful in every way.",positive
"The game disappointed me, it was genuinely awful.",negative
"ugh the product is so awful, never doing that again",negative
"Honestly, the laptop was fantastic from start to finish.",positive
"The vacation package disappointed me, it was genuinely dismal.",negative
"I'm so happy with the staff, fabulous in every way.",positive
"The game sounded flawless on paper, but it really wasn't in practice.",negative
"Shoutout to the team, the service is satisfying!",negative
"Regret paying for the app, frustrating quality.",negative
"I really loved the phone, it was excellent.",positive
"Honestly, the service was pathetic from start to finish.",positive
"Best movie I've ever used, simply great.",positive
"Regret paying for the delivery, dreadful quality.",negative
movie review: perfect. would recommend 100%,positive
Such a brilliant experience with this headphones!,positive
"Shoutout to the team, the concert is impressive!",positive
"Five stars for this screen quality, it's awesome!",positive
"The flight surprised me, it was genuinely flawless.",positive
"I really loved the customer service, it was lovely.",positive
"ugh the product is so mediocre, never doing that again",negative
Everything about the laptop felt poor and poorly thought out.,positive
"OMG the movie is so incredible, can't stop talking about it",positive
"Shoutout to the team, the product is incredible!",positive
"OMG the screen quality is so awesome, can't stop talking about it",positive
"Not happy with the team, the food is disappointing",negative
Such a atrocious experience with this plot.,negative
"Not happy with the team, the headphones is unacceptable",negative
This game is absolutely unacceptable.,negative
"Couldn't be happier with the battery life, brilliant quality.",positive
Such a charming experience with this sound quality!,positive
"I didn't expect much from the restaurant, yet it turned out okay-ish, even good.",positive
"Regret paying for the gym, terrible quality.",negative
"What an lovely app, highly recommend it!",positive
Everything about the book felt unacceptable and poorly thought out.,negative
"ugh the app is so horrible, never doing that again",negative
"okay the movie is actually useless, kind of upset",negative
"today's flight was boring, ruined my whole week",negative
"OMG the movie is so fantastic, can't stop talking about it",positive
"ugh the concert is so pathetic, never doing that again",negative
"I didn't expect much from the laptop, yet it turned out okay-ish, even good.",positive
"Shoutout to the team, the product is great!",positive
"in love with this course, it's top-notch omg",positive
Everything about the concert felt boring and poorly thought out.,negative
"I really loved the gym, it was brilliant.",positive
"The staff fell far short of expectations, truly dismal.",negative
"The plot exceeded my expectations, truly lovely.",positive
"Honestly, the game was terrific from start to finish.",positive
This hotel is absolutely boring.,negative
"in love with this vacation package, it's amazing omg",positive
"Five stars for this laptop, it's top-notch!",positive
"Honestly, the vacation package was satisfying from start to finish.",positive
"I really loved the delivery, it was perfect.",positive
"The sound quality disappointed me, it was genuinely mediocre.",positive
"The camera fell far short of expectations, truly unacceptable.",negative
"okay the gym is actually fabulous, not even joking",positive
"Mixed feelings about the camera at first, but it won me over.",positive
"I'm so happy with the software update, satisfying in every way.",positive
"so done with this staff, it's awful honestly",negative
"Honestly, the flight was lousy from start to finish.",negative
screen quality review: dismal. would not recommend,negative
"One star for this phone, it's subpar.",negative
"so done with this staff, it's painful honestly",negative
"The battery life exceeded my expectations, truly flawless.",positive
staff review: awful. would not recommend,negative
Can't believe how atrocious this vacation package turned out to be smh,negative
"The camera exceeded my expectations, truly wonderful.",negative
"What an incredible gym, highly recommend it!",positive
This headphones is absolutely perfect!,positive
"The software update exceeded my expectations, truly excellent.",positive
"The course sounded wonderful on paper, but it really wasn't in practice.",negative
app review: fabulous. would recommend 100%,positive
"so done with this screen quality, it's annoying honestly",negative
"Thought the vacation package would be satisfying, turns out it really wasn't.",negative
Such a great experience with this course!,positive
"What a lousy sound quality, would not recommend.",negative
Just tried the new customer service and it's excellent!! #loveit,positive
"The vacation package surprised me, it was genuinely outstanding.",positive
Just tried the new app and it's delightful!! #loveit,positive
"The camera disappointed me, it was genuinely dismal.",negative
"Not the best food I've seen, but honestly still pretty good.",positive
"The screen quality disappointed me, it was genuinely disappointing.",negative
"in love with this sound quality, it's impressive omg",positive
Can't believe how pathetic this food turned out to be smh,negative
"so done with this sound quality, it's pathetic honestly",negative
"I didn't expect much from the the acting, yet it turned out okay-ish, even good.",positive
"The coffee isn't perfect, though overall I'd say it's decent.",positive
Can't believe how frustrating this service turned out to be smh,negative
"One star for this headphones, it's horrible.",negative
"Honestly, the flight was perfect from start to finish.",positive
battery life review: terrific. would recommend 100%,positive
Such a dismal experience with this restaurant.,negative
"It's not a horrible, but I still ended up enjoying the laptop.",positive
"The coffee fell far short of expectations, truly overpriced.",negative
"The movie sounded brilliant on paper, but it really wasn't in practice.",negative
Started off fine but the headphones quickly turned disappointing.,negative
"so done with this laptop, it's annoying honestly",negative
"okay the staff is actually pathetic, kind of upset",negative
"Honestly, the book was useless from start to finish.",negative
service review: terrific. would recommend 100%,positive
"in love with this phone, it's outstanding omg",positive
"The concert exceeded my expectations, truly great.",positive
This game is absolutely delightful!,positive
"I'm so unhappy with the service, mediocre in every way.",negative
Just tried the new delivery and it's incredible!! #loveit,positive
"so done with this game, it's subpar honestly",negative
"Honestly, the coffee was broken from start to finish.",positive
"okay the phone is actually awesome, not even joking",positive
"I'm so happy with the restaurant, charming in every way.",positive
"The delivery disappointed me, it was genuinely boring.",negative
"Honestly, the app was superb from start to finish.",positive
"Wanted to like the hotel, but it just didn't work out.",negative
"The restaurant fell far short of expectations, truly unacceptable.",negative
headphones review: outstanding. would recommend 100%,positive
"Not happy with the team, the headphones is annoying",negative
"Shoutout to the team, the coffee is superb!",positive
"Five stars for this screen quality, it's outstanding!",positive
"in love with this product, it's perfect omg",positive
"okay the book is actually painful, kind of upset",negative
"What a frustrating screen quality, would not recommend.",negative
"Regret paying for the software update, useless quality.",negative
Everything about the screen quality felt dreadful and poorly thought out.,negative
"The laptop sounded charming on paper, but it really wasn't in practice.",negative
"okay the vacation package is actually poor, kind of upset",negative
"What an terrific coffee, highly recommend it!",positive
"Not happy with the team, the sound quality is horrible",negative
"Expected more from the flight, ended up just okay at best, leaning disappointing.",negative
This plot is absolutely outstanding!,positive
Can't believe how horrible this flight turned out to be smh,negative
"One star for this food, it's unacceptable.",negative
"Worst camera I've ever used, simply unacceptable.",negative
"The laptop surprised me, it was genuinely excellent.",positive
"I'm so unhappy with the battery life, terrible in every way.",negative
"Best screen quality I've ever used, simply satisfying.",positive
"Honestly, the staff was useless from start to finish.",negative
"ugh the the acting is so dismal, never doing that again",negative
"Honestly, the camera was fantastic from start to finish.",positive
"Regret paying for the book, lousy quality.",negative
"Not as incredible as everyone claimed, kind of let down by the movie.",negative
"OMG the phone is so outstanding, can't stop talking about it",positive
"today's headphones was atrocious, ruined my whole week",negative
"Expected more from the staff, ended up just okay at best, leaning disappointing.",negative
Can't believe how horrible this course turned out to be smh,negative
"today's software update was broken, ruined my whole week",negative
"Couldn't be happier with the staff, charming quality.",positive
"Not happy with the team, the app is dismal",negative
"The game surprised me, it was genuinely excellent.",positive
"The hotel isn't perfect, though overall I'd say it's decent.",positive
Such a brilliant experience with this battery life!,positive
"Regret paying for the restaurant, subpar quality.",negative
"OMG the product is so top-notch, can't stop talking about it",positive
"Thought the laptop would be impressive, turns out it really wasn't.",negative
"A bit pricey for a laptop, but worth it in the end.",positive
"I really loved the sound quality, it was superb.",positive
"A bit pricey for a staff, but worth it in the end.",positive
"OMG the course is so wonderful, can't stop talking about it",positive
"The movie surprised me, it was genuinely incredible.",positive
"It's not a painful, but I still ended up enjoying the screen quality.",positive
This course is absolutely excellent!,positive
Just tried the new phone and it's boring.. #fail,negative
customer service review: awful. would not recommend,negative
"I really disliked the the acting, it was pathetic.",negative
"Five stars for this laptop, it's lovely!",positive
"What a mediocre app, would not recommend.",negative
"Honestly, the restaurant was dreadful from start to finish.",negative
"The service exceeded my expectations, truly outstanding.",positive
This game is absolutely horrible.,negative
"today's concert was atrocious, ruined my whole week",negative
"Five stars for this concert, it's great!",positive
Such a subpar experience with this vacation package.,negative
"Honestly, the phone was awful from start to finish.",negative
"Not happy with the team, the app is disappointing",negative
"It's not a disappointing, but I still ended up enjoying the battery life.",positive
"Not happy with the team, the course is annoying",negative
Can't believe how annoying this vacation package turned out to be smh,negative
"Couldn't be happier with the product, flawless quality.",positive
"OMG the course is so satisfying, can't stop talking about it",positive
"Not happy with the team, the screen quality is poor",negative
"The product exceeded my expectations, truly superb.",positive
Everything about the delivery felt awful and poorly thought out.,negative
Can't believe how horrible this staff turned out to be smh,negative
"OMG the headphones is so impressive, can't stop talking about it",positive
"Not the best book I've seen, but honestly still pretty good.",positive
Everything about the app felt wonderful and well thought out.,positive
"Best phone I've ever used, simply wonderful.",positive
"Five stars for this flight, it's wonderful!",positive
"okay the vacation package is actually wonderful, not even joking",positive
"today's the acting was frustrating, ruined my whole week",negative
"One star for this vacation package, it's lousy.",negative
"in love with this phone, it's satisfying omg",positive
